name,price,brand,top_notes,middle_notes,base_notes,reviews,url
ANA ABIYEDH ROUGE AIR FRESHNER,500/=,LATTAFA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ana-abiyedh-rouge-air-freshner/
ANA ABIYEDH ROUGE DEODORANT 200ML,500/=,,"Top notes: Nashi Pear, Kumquat and Bergamot.<br>
Middle notes: Geranium, Cardamom and Coriander.<br>
Base notes: Ambergris, Suede and Tahitian Vetiver.","Geranium, Cardamom and Coriander.","Ambergris, Suede and Tahitian Vetiver.",No Reviews Available,https://middleeasternscents.co.ke/product/ana-abiyedh-rouge-deodorant-200ml/
ANA ABIYEDH WHITE 200ML ,500/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ana-abiyedh-white-200ml/
ANA WA ANTA 20 ML,"1,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ana-wa-anta-20-ml/
ANARCH,"2,300/=",MAISON ALHAMBRA,"Ylang-Ylang, Water Jasmine, Bergamot and Grass; middle notes are Peach, Pear Blossom, Lily, White Heliotrope, Violet Leaf and Damask Rose; base notes are Cashmere Wood, Ebony, Amber, Tonka Bean, Vanilla, Coconut and Sugar.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/anarch/
ANDALEEB,"2,400/=",,"Top notes: Mandarin Orange, Orange and Bergamot.<br>
Middle notes: Jasmine and Rose.<br>
Base notes: Sandalwood, Vetiver and Patchouli.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/andaleeb/
ANDALEEB FLORA,"2,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/andaleeb-flora/
ANGHAM,"3,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/angham/
ANSAAM GOLD,"4,500/=",,"<strong>Top notes:</strong> Pears, Mandarins.<br>
<strong>Middle notes:</strong> Rose, Jasmine, Candy.<br>
<strong>Base notes:</strong> Raspberry, Musk, Vanilla, Agarwood.","<strong></strong> Rose, Jasmine, Candy.","<strong></strong> Raspberry, Musk, Vanilla, Agarwood.",No Reviews Available,https://middleeasternscents.co.ke/product/ansaam-gold/
ANSAAM GOLD – CONCENTRATED PERFUMED BODYSPRAY (250 ML/9 FL.OZ),550/=,LATTAFA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ansaam-gold-concentrated-perfumed-bodyspray-250-ml-9-fl-oz/
ANSAAM SILVER,"4,000/=",,"Top notes: Cardamom, Bergamot.<br>
Middle notes: Lavender, Davana.<br>
Base notes: Vanilla, Patchoulli, Amber.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ansaam-silver/
ANTIQUE,"4,900/=",,"Top notes: cardamom, figs, coconut, milk, black tea.","Middle notes: iris, vetiver, jasmine.","Base notes: amber, sandalwood, tonka bean, caramel, musk.",No Reviews Available,https://middleeasternscents.co.ke/product/antique/
ANTIQUE 20 ML,"1,050/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/antique-20-ml/
ARABIAN OUD DELIGHT,650/=,Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/arabian-oud-delight/
ART OF ARABIA 3,"5,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/art-of-arabia-3/
ART OF NATURE 2,"4,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/art-of-nature-2/
ART OF NATURE I,"4,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/art-of-nature-i/
ARTISAN ETHNIQUE,"4,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/artisan-ethnique/
ARZAN,"1,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/arzan/
ASAD,"2,600/=",,"Top notes: Pineapple, Tobacco, Black pepper.<br>
Middle notes: Vanilla, Coffee, Patchouli.<br>
Base notes: Amber, Benzoin, Vanilla, Woods, Labdanum.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/asad/
ASAD BODY SPRAY,500/=,,"Top notes: Pineapple, Tobacco, Black pepper.<br>
Middle notes: Vanilla, Coffee, Patchouli.<br>
Base notes: Amber, Benzoin, Vanilla, Woods, Labdanum.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/asad-body-spray/
ASAD ZANZIBAR,"2,600/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/asad-zanzibar/
ASDAAF AMEER AL ARAB IMPERIUM,"2,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/asdaaf-ameer-al-arab-imperium/
ATHENA,"2,300/=",MAISON ALHAMBRA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/athena/
AWAAN,"4,500/=",,"Top notes: Bergamot, Orange.<br>
Middle notes: Jasmine, Orange Blossom.<br>
Base notes: Sandalwood, Patchouli, Musk.","Jasmine, Orange Blossom.","Sandalwood, Patchouli, Musk.",No Reviews Available,https://middleeasternscents.co.ke/product/awaan/
AZURE FRENCH COLLECTION,"12,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/azure-french-collection/
BAD FEMME,"2,100/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/bad-femme/
BADE’E AL OUD – OUD FOR GLORY,"3,650/=",,"Top notes: Saffron, Lavender and Nutmeg.<br>
Middle notes: Agarwood (Oud) and Patchouli.<br>
Base notes: Agarwood (Oud), Patchouli and Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/badee-al-oud-oud-for-glory/
BADE’E AL OUD – SUBLIME,"3,650/=",,"Lattafa Bade’e Al Oud Sublime is a luxurious and exotic fragrance that will surely captivate your senses. This unisex fragrance is a blend of woody, spicy and sweet notes to create a unique and seductive aroma. Top notes of lychee, rose and apple will give a sweet fruity initial sensation on your skin. At the heart of the fragrance, jasmine unfolds with a hint of ripe plum, giving you a spicy, oriental floral touch to your skin. The main notes of this fragrance are a combination of vanilla and patchouli, giving it a warm and sensual tone.","Jasmine, Plum","Moss, Patchouli, Vanilla","1 REVIEW FOR BADE’E AL OUD – SUBLIME
Rated 5 out of 5
Swaleh – November 19, 2023
I love this fruity fragrance.. definitely in the lines of kayali eden apple
Add a review
Your email address will not be published. Required fields are marked *
Your rating
1 2 3 4 5",https://middleeasternscents.co.ke/product/badee-al-oud-sublime/
BADE’E AL OUD AMETHYST,"3,650/=",,"Top notes: Pink Pepper and Bergamot.<br>
Middle notes: Turkish Rose, Bulgarian Rose and Jasmine.<br>
Base notes: Agarwood (Oud), Amber and Vanilla.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/badee-al-oud-amethyst/
BADE’E AL OUD HONOR AND GLORY,"3,650/=",,"Glory was launched in 2023.  Pineapple and Creme Brulee; middle notes are Cinnamon, Benzoin, Black Pepper and Turmeric; base notes are Vanilla, Sandalwood, Cashmeran and Moss.","Benzoin, Black Pepper, Cinnamon, Turmeric","cashmeran, Moss, Sandalwood, Vanilla",No Reviews Available,https://middleeasternscents.co.ke/product/badee-al-oud-honor-and-glory/
BADE’E AL OUD NOBLE BLUSH,"3,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/badee-al-oud-noble-blush/
BADE’E AL OUD SUBLIME – EDP SPRAY 100ML& DEODORANT SPRAY 200ML BY LATTAFA,"4,100/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/badee-al-oud-sublime-edp-spray-100ml-deodorant-spray-200ml-by-lattafa/
BADE’E AL OUD SUBLIME BODY SPRAY 200ML BY LATTAFA,500/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/badee-al-oud-sublime-body-spray-200ml-by-lattafa/
BADE’E AL OUD- OUD FOR GLORY BODY SPRAY,500/=,LATTAFA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/badee-al-oud-oud-for-glory-2/
BADEE AL OUD – OUD FOR GLORY BODY SPRAY 200ML,500/=,LATTAFA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/badee-al-oud-oud-for-glory-body-spray-200ml/
BADEE AL OUD SUBLIME AIR FRESHENER,500/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/badee-al-oud-sublime-air-freshener/
BAHRAIN PEARL PREMIUM CONCENTRATED PERFUME OIL 20ML,"3,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/bahrain-pearl-premium-concentrated-perfume-oil-20ml/
BANANA BLISS,"3,600/=",,Not Available,Not Available,"Top note : banana .<br>
Heart notes : coconut , cream.<br>
 vanilla , sugar , tonka bean .",No Reviews Available,https://middleeasternscents.co.ke/product/banana-bliss/
BARAKKAT AMBRE EVE,"2,500/=",,Top notes: Spanish Labdanum,• Middle notes: Benzoin Siam,"• Base notes: Brazilian Tonka Bean, Amber, Vanilla",No Reviews Available,https://middleeasternscents.co.ke/product/barakkat-ambre-eve/
BARAKKAT AQUA STELLAR,"2,000/=",,"Top notes: Sour Green Lemon, Spring Orange, Black Grapefruit, Mint","Rose, Silk flower, Green Compounds",Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/barakkat-aqua-stellar/
BARAKKAT ROUGE 540,"2,000/=",,The Top notes: Saffron and Jasmine;,Not Available,The Base notes: Fir Resin and Cedar.,No Reviews Available,https://middleeasternscents.co.ke/product/barakkat-rouge-540-2/
BARAKKAT ROUGE 540 BODYSPRAY,500/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/barakkat-rouge-540/
BARAKKAT ROUGE 540 EXTRAIT,"2,000/=",,"Bitter Almond and Saffron; middle notes are Egyptian Jasmine and Cedar; base notes are Ambergris, Woody Notes and Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/barakkat-rouge-540-extrait/
BARAKKAT SATIN OUD,"2,000/=",Unknown,Not Available,Not Available,"Top Notes: Violet<br>
Middle Notes: Laotian oud, Bulgarian rose, Turkish rose<br>
Base notes: Vanilla, Amber",No Reviews Available,https://middleeasternscents.co.ke/product/barakkat-satin-oud/
BAROQUE ROUGE 540,"2,100/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/baroque-rouge-540/
BAROQUE SATIN OUD,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/satin-oud/
BATOUL 12 ML,"2,000/=",AL HARAMAIN,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/batoul-12-ml/
BAYAAN,"3,900/=",LATTAFA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/bayaan/
BAYN AL ASRAR,"3,100/=",PARIS CORNER,"Nashi Pear, Pink pepper and Olibamum<br>
Middle notes: Saffron,jasmine Sambac, Taif rose , Hazelnut.<br>
Base notes :Sandalwood, Vanilla, Amber and musc","Saffron,jasmine Sambac, Taif rose , Hazelnut.",Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/bayn-al-asrar/
BEDOUR EXTRAIT,"5,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/bedour-extrait/
BERLINETTA,"2,100/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/berlinetta/
BERRIES WEEKEND PINK EDITION,"2,100/=",,"tangerine, tree sap and reseda plant.",Not Available,Base notes is Nectarine,No Reviews Available,https://middleeasternscents.co.ke/product/berries-weekend-pink-edition/
BINT HOORAN,"1,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/bint-hooran/
BINT HOORAN – 3 PIECE GIFT SET,"3,200/=",ARD AL ZAAFARAN,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/bint-hooran-3-piece-gift-set/
BLANCHE FRENCH COLLECTION,"1,300/=",,"Top notes: Litchi, Nutmeg, Pitahaya and Bergamot.<br>
Middle notes: Rose, Peony and Vanilla.<br>
Base notes: Musk, Cedar, Vetiver and Cashmeran.","Rose, Peony and Vanilla.","Musk, Cedar, Vetiver and Cashmeran.",No Reviews Available,https://middleeasternscents.co.ke/product/blanche-french-collection/
BLUE HOMME,"3,000/=",,"Grapefruit, Bergamot, Neroli, Lemon, Mandarin Orange and Lime; middle notes are Rosemary, Lavender, Nutmeg and Jasmine; base notes are Oakmoss, Amber, Cedar, Patchouli, Vanilla and Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/blue-homme/
BLUE OUD,"2,500/=",,"TTop notes: Cambodian Oudh.<br>
Middle notes: Saffron, Vanilla, Guaiac wood.<br>
Base notes: Indian Oudh.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/blue-oud/
BLUE SAPPHIRE,"4,500/=",,"Top notes: Apple, Mint, Lemon.<br>
Middle notes: Geranium, Clarysage, Marine notes.<br>
Base notes: Patchouli, Cedarwood.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/blue-sapphire/
BREEZE 20ML,900/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/breeze-20ml/
BRIGHT PEACH,"2,400/=",,"peach, blood orange, cardamom and heliotrope;<br>
Middle notes: Rum, Cognac, Davana and Jasmine;<br>
Base notes are Indonesian patchouli, vanilla, sandalwood, tonka bean, cashmeran, benzoin, styrax, labdanum and vetiver.","Rum, Cognac, Davana and Jasmine;",Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/bright-peach/
BRIOCHE VANILLE,"4,500/=",LATTAFA PRIDE,"Brioche, Freesia and Bergamot; middle notes are Balsam Fir and Heliotrope; base notes are Vanilla, Benzoin and Praline",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/brioche-vanille/
BUBBLE GUM,"1,200/=",Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/bubble-gum/
BURHAN,"1,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/burhan/
CAMILLE,"2,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/camille/
CAMP FIRE FACTORY EDITION,"2,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/camp-fire-factory-edition/
CASABLANCA,"6,200/=",,"Apple and Grapes<br>
Middle notes are White Woods, Iris and Patchouli<br>
Base notes are Caramel, Amber, Suede, Musk and Peru Balsam<br>
CASABLANCA: YOUR NEW SIGNATURE SCENT. Opens with the finest notes of Grapes and uplifting Apples. The beating heart of the fragrance brings out the deep resonance of Patchouli and Orris. Amber and Musk add depth to the aroma and inspire attention.<br>
LONG LASTING EAU DE PARFUM QUALITY. The superior, long-lasting, high-quality fragrance essence. Perfect for gift-giving or for wearing in a variety of situations. Formulated for long-wearing aroma projection and wearable intensity.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/casablanca/
CHARUTO MYSTERIOUS TOBACCO,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/charuto-mysterious-tobacco/
CHARUTO REGAL RESERVE,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/charuto-regal-reserve/
CHARUTO TOBACCO VANILLE,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/charuto-tobacco-vanille/
CHERRY BLOSSOM,650/=,Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/cherry-blossom/
CHERRY COLA,"2,600/=",,"Top notes: black cherry, bergamot, Calabrian lemon;",Not Available,"Heart notes: iris, jasmine, patchouli, sweet heliotrope;<br>
Base notes: precious white musk, vanilla pods.",No Reviews Available,https://middleeasternscents.co.ke/product/cherry-cola/
CHOCO MUSK 50ML,700/=,Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/choco-musk-50ml/
CHOCO MUSK OIL 6ML,299/=,Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/choco-musk-oil-6ml/
CHOCOLATE FUDGE,"1,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/chocolate-fudge/
CLUB DE NUIT ICONIC,"6,500/=",,"Top notes: Grapefruit, Lemon, Mint, Pink Pepper &amp; Coriander.<br>
Middle notes: Ginger, Nutmeg, Jasmine &amp; Melon.<br>
Base notes: Incense, Amber, Cedar, Sandalwood, Patchouli, Labdanum, Woody.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/club-de-nuit-iconic/
CLUB DE NUIT INTENSE MAN,"5,600/=",,"Top notes: Lemon, Pineapple, Bergamot, Black Currant and Apple.<br>
Middle notes: Birch, Jasmine and Rose.<br>
Base notes: Musk, Ambergris, Patchouli and Vanilla.","Birch, Jasmine, Rose","Ambergris, Musk, Patchouli, Vanilla","1 REVIEW FOR CLUB DE NUIT INTENSE MAN
Rated 5 out of 5
Kevin – November 8, 2024
The amount of skirt I have gotten from “you smell nice” is diabolical. I owe you guys a drink
Add a review
Your email address will not be published. Required fields are marked *
Your rating
1 2 3 4 5",https://middleeasternscents.co.ke/product/club-de-nuit-intense-man/
CLUB DE NUIT INTENSE MAN BODY SPRAY,500/=,,"Top notes: Lemon, Pineapple, Bergamot, Black Currant and Apple.<br>
Middle notes: Birch, Jasmine and Rose.<br>
Base notes: Musk, Ambergris, Patchouli and Vanilla.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/club-de-nuit-intense-man-body-spray/
CLUB DE NUIT INTENSE MAN LIMITED EDITION PARFUM,"12,800/=",ARMAF,"Top notes: Lemon, Pineapple, Bergamot, Black Currant and Apple.<br>
Middle notes: Birch, Jasmine and Rose.<br>
Base notes: Musk, Ambergris, Patchouli and Vanilla.","Birch, Jasmine and Rose.","Musk, Ambergris, Patchouli and Vanilla.",No Reviews Available,https://middleeasternscents.co.ke/product/club-de-nuit-intense-man-limited-edition-parfum/
CLUB DE NUIT INTENSE MAN LUXURY FRENCH PERFUME OIL 20ML,"4,400/=",Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/club-de-nuit-intense-man-luxury-french-perfume-oil-20ml/
CLUB DE NUIT INTENSE WOMAN,"5,300/=",Unknown,"Top notes: Rose, Saffron and Geranium.<br>
Middle notes: Nutmeg, Pepper, Violet and Caraway.<br>
Base notes: Patchouli, Vanilla, Agarwood (Oud) and Amber.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/club-de-nuit-intense-woman-copy/
CLUB DE NUIT MILESTONE,"6,999/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/club-de-nuit-milestone/
CLUB DE NUIT SILLAGE,"6,500/=",Unknown,"Bergamot, Black Currant, Lemon, Lime, Violet Leaf and Ginger","Rose, Jasmine and Iris","Ambroxan, Musk, Sandalwood and Cedar.",No Reviews Available,https://middleeasternscents.co.ke/product/club-de-nuit-sillage/
CLUB DE NUIT UNTOLD,"8,400/=",,"Top notes: Saffron &amp; Jasmine.<br>
Middle notes: Amberwood &amp; Ambergris.<br>
Base notes: Fir Resin &amp; Cedar.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/club-de-nuit-untold/
CLUB DE NUIT WHITE IMPERIALE,"8,200/=",,"Top notes: Litchi, Bergamot &amp; Nutmeg.<br>
Middle notes: Turkish Rose, Peony, Musk &amp; Vanilla.<br>
Base notes: Cashmeran, Cedar, Incense &amp; Vetiver.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/club-de-nuit-white-imperiale/
CLUB DE NUIT WOMAN,"5,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/club-de-nuit-woman/
CLUB DE NUIT WOMAN BODY SPRAY,500/=,,"Top notes: Orange, Grapefruit, Bergamot and Peach.<br>
Middle notes: Rose, Geranium, Jasmine and Litchi.<br>
Base notes: Patchouli, Vanilla, Musk and Vetiver.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/club-de-nuit-woman-body-spray/
COCKTAIL INTENSE,"3,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/cocktail-intense/
CONFIDENTIAL PRIVATE GOLD,"2,600/=",,"Top notes: Peach, Passion Fruit, Pear, Raspberry, &amp; Cassis.",Middle notes: Lily-of-the-Valley.,"Base notes: Musk, Vanilla, Sandalwood, Patchouli, &amp; Heliotrope.",No Reviews Available,https://middleeasternscents.co.ke/product/confidential-private-gold/
COOKIES & CREAM,"1,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/cookies-cream/
COTTON CANDY,"1,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/cotton-candy/
CREATION DE REVE,"3,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/creation-de-reve/
DALAL,500/=,AL REHAB,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/dalal/
DALAL 6ML OIL,299/=,AL REHAB,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/dalal-6ml-oil/
DAREEJ POUR HOMME,"2,500/=",Unknown,"Top notes: Cumin, Cardamom and Artemisia.<br>
Middle notes: Rose and Orris Root.<br>
Base notes: Vanilla, Tonka Bean, Amber, Patchouli, Sandalwood and Musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/dareej-pour-homme/
DE LA MARQUE GOLD,"3,000/=",,"Neroli, Pink Pepper and Bergamot; middle notes are Iris, Orange Blossom, Rose and Jasmine; base notes are Musk, Labdanum and Vanilla.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/de-la-marque-gold/
DECEMBER ROSE,"3,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/december-rose/
DECEMBER VANILLE,"3,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/december-vanille/
DELILAH,"2,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/delilah/
DEODORANT STICK CLUB DE NUIT WOMEN,"2,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/deodorant-club-de-nuit-women-2/
DÉTOUR NOIR,"4,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/detour-noir/
DHAHAB PERFUME OIL ATTAR,"1,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/dhahab-perfume-oil-attar/
DIRHAM WARDI,"1,800/=",,"Rose, Orange Blossom, Pear and Black Currant; middle notes are Praline, Jasmine and iris; base notes are Patchouli, Vanilla and Tonka Bean.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/dirham-wardi/
DISTANCE,500/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/distance/
DUBLIN LEATHER,"2,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/dublin-leather/
ECLAIRE,,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/eclair/
EKHTIARI,"2,300/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ekhtiari/
EMAAN,"3,500/=",,"Top notes: orange blossoms, bergamot, black currant.<br>
Middle notes: jasmine, calendula, tuberose.<br>
Base notes: vanilla, cedar, white musk, patchouli.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/emaan/
EMEER,"4,800/=",,"Top notes: Lemon, Bergamot, Juniper Berries, Clary Sage.","Middle notes: Cardamon, White Tea, Sandalwood, Olibanum.","Base notes: Ambergris, Cashmeran, Patchouli, Cedarwood.",No Reviews Available,https://middleeasternscents.co.ke/product/emeer/
EMPIRE EMPRESS,"3,500/=",,"Top notes	Davana, Bergamot, Pink Pepper<br>
Middle notes	White Amber, Rosemary, Oud<br>
Base notes	Musk, Leather, Vetiver",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/empire-empress/
EMPIRE VICTOR,"3,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/empire-victor/
EPOQUE ARTISTIQUE,"3,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/epoque-artistique/
ESSENCE OF CASABLANCA,"9,000/=",,"Apple and Grapes; middle notes are Patchouli and Orris; base notes are Amber, Balsamic Notes, Musk and Vanilla.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/essence-of-casablanca/
ETERNAL COFFEE,"2,300/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/eternal-coffee/
ETERNAL OUD,"5,000/=",,"Top notes: Grapefruit, Plum.<br>
Middle notes: Orchid, Heliotrope.<br>
Base notes: Vanilla, Amber, Oud, Benzoin, Tonka Beans, Labdanum.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/eternal-oud/
ETERNAL OUD 20ML,700/=,,"Top notes: Grapefruit, Plum.<br>
Middle notes: Orchid, Heliotrope.<br>
Base notes: Vanilla, Amber, Oud, Benzoin, Tonka Beans, Labdanum.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/eternal-oud-20ml/
EXCLUSIF ROSE,"2,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/exclusif-rose/
EXPOSE BLANC,"2,000/=",,"Top notes: Grapefruit, Bergamot and Pink Pepper;","Middle notes: Water Notes, Lavender and Cardamom;","Base notes: White Musk, White Woods, Cashmere Wood and Oakmoss.",No Reviews Available,https://middleeasternscents.co.ke/product/expose-blanc/
FAKHAR FOR MEN,"2,700/=",,"Top notes: Apple, Ginger and Bergamot.<br>
Middle notes: Sage, Lavender, Juniper Berries and Geranium.<br>
Base notes: Amberwood, Tonka Bean, Cedar and Vetiver.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/fakhar-for-men/
FAKHAR FOR WOMEN,"2,700/=",,"Top notes: Fruits, Pomegranate, Lily and Aldehydes.<br>
Middle notes: Tuberose, Jasmine, Gardenia, Ylang-Ylang, Honeysuckle, Rose and Peony.<br>
Base notes: Vanilla, Ambroxan, White Musk and Sandalwood.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/fakhar-for-women/
FAKHAR GOLD EXTRAIT,"2,800/=",,"Top notes: tuberose, salt.",Not Available,"Base notes: labdanum, vetiver, cedar.",No Reviews Available,https://middleeasternscents.co.ke/product/fakhar-gold-extrait/
