name,price,brand,top_notes,middle_notes,base_notes,reviews,url
TURAB AL DHAHAB,"1,800/=",Unknown,"Top notes: bergamot, lime, tangerine, coconut.<br>
Middle notes: jasmine, hibiscus blossoms, ylang-ylang, ginger.<br>
Base notes: sugar cane, white musk.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/turab-al-dhahab/
TWILIGHT SHADOW MUSK COLLECTION,"4,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/twilight-shadow-musk-collection/
UNICORN VANILLA,"1,200/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/unicorn-vanilla/
UNLEASH SHINE,"4,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/unleash-shine/
UR WAY,"1,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ur-way/
VANILLA COFFEE,520/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/vanilla-coffee/
VANILLA ROUGE,"3,300/=",,"Red Fruits, Saffron","Chocolate, Rose, Tonka Bean, Vanilla","Ambergris, Moss, Musk",No Reviews Available,https://middleeasternscents.co.ke/product/vanilla-rouge/
VELVET GOLD,"5,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/velvet-gold/
VELVET OUD,"2,700/=",LATTAFA,"Top notes: Raspberry and Saffron.<br>
Middle notes: Rose water and Germanium.<br>
Base notes: Amber, Agarwood, Incense and White Musk.",Rose water and Germanium.,"Amber, Agarwood, Incense and White Musk.",No Reviews Available,https://middleeasternscents.co.ke/product/velvet-oud/
VELVET ROSE,"2,700/=",LATTAFA,"Top notes: Rose and Patchouli.<br>
Middle notes: Labdanum and Musk.<br>
Base notes: Musk and Amber.",Labdanum and Musk.,Musk and Amber.,No Reviews Available,https://middleeasternscents.co.ke/product/velvet-rose/
VENTANA POUR HOMME,"3,200/=",,"Top notes: Grapefruit, Lemon and Mandarin Orange.<br>
Middle notes: Lavender, Geranium, Patchouli and Vetiver.<br>
Base notes: Cedar, Amber and Precious Woods.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ventana-pour-homme/
VERSENCIA NOIR,"2,000/=",Unknown,"Pepper, Ginger and Cardamom<br>
Middle notes are Coconut, Gardenia, Orange Blossom and Peony<br>
Base notes are Sandalwood, Musk and Amber.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/versencia-noir/
VIBRANT VETIVER DELIGHT,"3,300/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/vibrant-vetiver-delight-emir/
VICTORIA FLOWER,"2,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/victoria-flower/
VICTORIA FLOWER ORCHID,"1,900/=",,Peach and Vine; middle note is Orchid; base note is Vanilla Bean.,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/victoria-flower-orchid/
VICTORIOSO NERO,"2,000/=",MAISON ALHAMBRA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/victorioso-nero/
VINTAGE RADIO,"4,000/=",,"Top notes: Lavender, Sage, Bergamot.<br>
Middle notes: Plum, Palo Santo, Black Pepper.<br>
Base notes: Sandalwood, Amberwood.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/vintage-radio/
VOUX BLUE OUD,"2,700/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/voux-blue-oud/
VOUX ELEGANTE,"2,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/voux-elegante/
VOUX PATISSERIE,"2,700/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/voux-patisserie/
VOUX SPICES,"2,400/=",Unknown,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/voux-spices/
WAJOOD,"4,500/=",,"Top notes: Marine, Pink Peppera.","Middle notes: Vetiver, Patchouli.","Base notes: Sandalwood, Amber.",No Reviews Available,https://middleeasternscents.co.ke/product/wajood/
WATANI INTENSE AL WATANIAH,"2,300/=",,": Clove, Honey, Vanilla and Lemon.<br>
Middle notes are: Vanilla, Fruits, Rose, Ylang-Ylang, Jasmine and Saffron.<br>
Base notes are: Vetiver, Vanilla, Licorice, Sandalwood, White Musk and Patchouli.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/watani-intense-al-wataniah/
WATANI KHUSUSI | AL WATANIAH,"2,300/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/watani-khususi-al-wataniah/
WINSOME ( PREVIOUSLY THE TUX),"2,800/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/winsome-previously-the-tux/
YARA & YARA BODY SPRAY COMBO,"3,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/yara-yara-body-spray-combo/
YARA BODY SPRAY 200ML,500/=,LATTAFA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/yara-body-spray-200ml/
YARA CANDY,"2,600/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/yara-candy/
YARA MOI,"2,600/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/yara-moi-100-ml-by-lattafa/
YARA MOI BODY SPRAY 200ML,500/=,,"Top notes: Jasmine, Peach.<br>
Middle notes: Amber, Caramel.<br>
Base notes: Sandalwood, Patchouli.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/yara-moi-body-spray-200ml/
YARA TOUS,"2,600/=",,"Top notes: Musk,vanilla,coconut",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/yara-tous/
YOU’RE DRUGGED,"4,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/youre-drugged/
YOUR TOUCH MEN,"2,300/=",MAISON ALHAMBRA,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/your-touch-men/
ZAHRAT HAWAII,500/=,,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/zahrat-hawaii/
ZIKRA,"6,200/=",,Top notes: Cognac,"Middle notes: Cinnamon, Tonka Bean, Oakmoss.","Base notes: Praline, Vanilla, Sandalwood.",No Reviews Available,https://middleeasternscents.co.ke/product/zikra/
RAGHBA WOOD INTENSE,"2,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/raghba-wood-intense/
RAVE NOW,"2,400/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/perfume-rave/
YARA ( PINK),"2,600/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/lattafa-yara/
AURA,"3,500/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/aura/
OUD WONDER EDP,"1,900/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/oud-wonder/
ROYAL SAPPHIRE EDP,"4,500/=",,"Royal Sapphire&nbsp;by&nbsp;Lattafa Perfumes is a fragrance for women and men.  Mandarin Orange, Lemon and Saffron; middle notes are Jasmine and Rose; base notes are Ambergris, Musk and Vanilla.",Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/royal-sapphire-edp/
ROUAT AL MUSK EDP,"2,100/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/rouat-almusk/
OUDAIN EDP,"2,000/=",,Not Available,Not Available,Not Available,No Reviews Available,https://middleeasternscents.co.ke/product/ouidain/
